"Name -- 2016v1_5","Diff Name -- 2016v1_4","Sequence Number -- 2016v1_5","Sequence Number -- 2016v1_4","Label -- 2016v1_5","Diff Label -- 2016v1_4","Type -- 2016v1_5","Diff Type -- 2016v1_4","Choice Name -- 2016v1_5","Diff Choice Name -- 2016v1_4","Choice Labels -- 2016v1_5","Diff Choice Labels -- 2016v1_4"
"presets",,"1",,"Preset HIV-Malaria mortality and season.","preset HIV-MALARIA PREVALENCE AND SEASON","begin group",,,,,
"id10002",,"2",,"Is this a region of high HIV/AIDS mortality?","is this a region of high hiv/aids PREVALENCE?","select_one HIGH_LOW_VERY",,"high_low_very","SELECT_ONE HIGH_low_very","high; low; very low","[empty cell]"
"id10003",,"3",,"Is this a region of high malaria mortality?","is this a region of high malaria PREVALENCE?","select_one HIGH_LOW_VERY",,"high_low_very","SELECT_ONE HIGH_low_very","high; low; very low","[empty cell]"
"id10004",,"4",,"During which season did (s)he die?",,"select_one select_58",,"select_58","select_ONE SELECT_58","wet; dry; doesn't know","[empty cell]"
"respondent_backgr",,"5",,"Information on the respondent and background about interview",,"begin group",,,,,
"id10007",,"6",,"What is the name of VA respondent?",,"text",,,,,
"id10008",,"7",,"What is your/the respondent's relationship to the deceased?","what is the respondent's relationship to the deceased?","select_one select_32",,"select_32","select_ONE SELECT_32","parent; child; other family member; friend; health worker; public official; another relationship; refused to answer","[empty cell]"
"id10009",,"8",,"Did you/the respondent live with the deceased in the period leading to her/his death?","did the respondent live with the deceased in the period leading to her/his death?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10010",,"9",,"Name of VA interviewer",,"text",,,,,
"id10012",,"10","11","","DATE OF INTERVIEW","today","DATE","[empty cell]",,,
"id10013",,"11","12","Did the respondent give consent?",,"select_one YES_NO",,"yes_no","SELECT_ONE YES_no","yes; no","[empty cell]"
"id10011",,"12","10","[empty cell]","TIME AT START OF INTERVIEW","start","TIME",,,,
"consented",,"13",,"Skip to end if not consented",,"begin group",,,,,
"deceased_crvs",,"14",,"Information about the deceased and vital registration",,"begin group",,,,,
"info_on_deceased",,"15",,"Information on the Deceased",,"begin group",,,,,
"id10017",,"16",,"What was the first or given name(s) of the deceased?",,"text",,,,,
"id10018",,"17",,"What was the surname (or family name)  of the deceased?","what was the surname (or family NAME)' of the deceased?","text",,,,,
"id10019",,"18",,"What was the sex of the deceased?",,"select_one select_2",,"select_2","select_ONE SELECT_2","female; male; ambiguous/intersex","[empty cell]"
"id10020",,"19",,"Is the date of birth known?",,"select_one YES_NO_REF",,"yes_no_ref","SELECT_ONE YES_no_ref","yes; no; refused to answer","[empty cell]"
"id10021",,"20",,"When was the deceased born?",,"date",,,,,
"id10022",,"21",,"Is the date of death known?",,"select_one YES_NO_REF",,"yes_no_ref","SELECT_ONE YES_no_ref","yes; no; refused to answer","[empty cell]"
"id10023_a","[no match found]","22","","When did (s)he die?","[no match found]","date","[no match found]",,"[no match found]",,"[no match found]"
"id10023_b","[no match found]","23","","When did (s)he die?","[no match found]","date","[no match found]",,"[no match found]",,"[no match found]"
"id10023",,"24","22","When did (s)he die?",,"calculate","DATE",,,,
"id10024",,"25","23","Please indicate the year of death.",,"date","INTEGER",,,,
"ageindays",,"26","24","[empty cell]",,"calculate",,,,,
"ageinyears",,"27","25","[empty cell]",,"calculate",,,,,
"ageinyearsremain",,"28","26","[empty cell]",,"calculate",,,,,
"ageinmonths",,"29","27","[empty cell]",,"calculate",,,,,
"ageinmonthsremain",,"30","28","[empty cell]",,"calculate",,,,,
"isneonatal1",,"31","29","[empty cell]",,"calculate",,,,,
"ischild1",,"32","30","[empty cell]",,"calculate",,,,,
"isadult1",,"33","31","[empty cell]",,"calculate",,,,,
"displayageneonate",,"34","32","NEONATE was ${ageInDays} days old.",,"note",,,,,
"displayagechild",,"35","33","CHILD was ${ageInYears} years ${ageInMonths} months and ${ageInMonthsRemain} days old.",,"note",,,,,
"displayageadult",,"36","34","ADULT was ${ageInYears} years old.",,"note",,,,,
"age_group",,"37","35","What age group corresponds to the deceased?",,"select_one age_group",,"age_group","SELECT_ONE AGE_group","neonate; child; adult","[empty cell]"
"age_neonate_days",,"38","36","How many days old was the baby? Enter neonate's age in days:","enter neonate's age in days:","integer",,,,,
"age_child_unit",,"39",,"How old was the child? Enter child's age in:","enter child's age in:","select_one units",,"units","SELECT_ONE UNITS","days; months; years; doesn't know; refused to answer","[empty cell]"
"age_child_days",,"40",,"Enter child's age in days:",,"integer",,,,,
"age_child_months",,"41",,"Enter child's age in months:",,"integer",,,,,
"age_child_years",,"42",,"Enter child's age in years:",,"integer",,,,,
"age_adult",,"43",,"Enter adult's age in years:",,"integer",,,,,
"ageinmonthsbyyear","[no match found]","44","","[empty cell]","[no match found]","calculate","[no match found]",,"[no match found]",,"[no match found]"
"ageinyears2","[no match found]","45","","[empty cell]","[no match found]","calculate","[no match found]",,"[no match found]",,"[no match found]"
"isneonatal2",,"46","44","[empty cell]",,"calculate",,,,,
"ischild2",,"47","45","[empty cell]",,"calculate",,,,,
"isadult2",,"48","46","[empty cell]",,"calculate",,,,,
"isneonatal",,"49","47","[empty cell]",,"calculate",,,,,
"ischild",,"50","48","[empty cell]",,"calculate",,,,,
"isadult",,"51","49","[empty cell]",,"calculate",,,,,
"ageindaysneonate","[no match found]","52","","[empty cell]","[no match found]","calculate","[no match found]",,"[no match found]",,"[no match found]"
"id10008_check","[no match found]","53","","It is not possible to select that the respondent is the child of the deceased and enter that the deceased is a neonate or child. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10058",,"54","50","Where did the deceased die?",,"select_one select_18",,"select_18","select_ONE SELECT_18","hospital; other health facility; home; on route to hospital or facility; other; doesn't know; refused to answer","[empty cell]"
"id10051",,"55","51","Is there a need to collect additional demographic data on the deceased?","is there a need to collect CIVIL REGISTRATION data on the deceased?","select_one YES_NO",,"yes_no","SELECT_ONE YES_no","yes; no","[empty cell]"
"id10052",,"56","52","What was her/his citizenship/nationality?",,"select_one select_500",,"select_500","select_ONE SELECT_500","citizen at birth; naturalized citizen; foreign national; doesn't know; refused to answer","[empty cell]"
"id10053",,"57","53","What was her/his ethnicity?",,"text",,,,,
"id10054",,"58","54","What was her/his place of birth?",,"text",,,,,
"id10055",,"59","55","What was her/his place of usual residence? (the place where the person lived most of the year)",,"text",,,,,
"id10057",,"60","57","Where did the death occur? (specify country, province, district, village)","where did death occur? (specify country, province, district, village)","text",,,,,
"id10059",,"61","58","What was her/his marital status?",,"select_one select_19",,"select_19","select_ONE SELECT_19","single; married; life partner; divorced; widowed; too young to be married; doesn't know; refused to answer","[empty cell]"
"id10060_check","[no match found]","62","","Is the date of marriage available?","[no match found]","select_one YES_NO","[no match found]","yes_no","[no match found]","yes; no","[no match found]"
"id10060",,"63","59","What was the date of marriage?",,"date",,,,,
"id10061",,"64","60","What was the name of the father?",,"text",,,,,
"id10062",,"65","61","What was the name of the mother?",,"text",,,,,
"id10063",,"66","62","What was her/his highest level of schooling?",,"select_one select_23",,"select_23","select_ONE SELECT_23","no formal education; primary school; secondary school; higher than secondary school; doesn't know; refused to answer","[empty cell]"
"id10064",,"67","63","Was (s)he able to read and/or write?","was (s)he able to read AND write?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10065",,"68","64","What was her/his economic activity status in year prior to death?",,"select_one select_25",,"select_25","select_ONE SELECT_25","mainly unemployed; mainly employed; home-maker; pensioner; student; other; doesn't know; refused to answer","[empty cell]"
"id10066",,"69","65","What was her/his occupation, that is, what kind of work did (s)he mainly do?",,"text",,,,,
"vital_reg_certif",,"70","66","Civil registration numbers",,"begin group",,,,,
"id10069",,"71","67","Is there a need to collect civil registration numbers on the deceased?",,"select_one YES_NO",,"yes_no","SELECT_ONE YES_no","yes; no","[empty cell]"
"id10069_a","[no match found]","72","","Do you have a death registration certificate?","[no match found]","select_one YES_NO","[no match found]","yes_no","[no match found]","yes; no","[no match found]"
"id10070",,"73","68","Death registration number/certificate",,"text",,,,,
"id10071_check","[no match found]","74","","Is the date of registration available?","[no match found]","select_one YES_NO","[no match found]","yes_no","[no match found]","yes; no","[no match found]"
"id10071",,"75","69","Date of registration",,"date",,,,,
"id10072",,"76","70","Place of registration",,"text",,,,,
"id10073",,"77","71","National identification number of deceased",,"text",,,,,
"stillbirth",,"78","97","Verification of possible stillbirth",,"begin group",,,,,
"id10104",,"79","98","Did the baby ever cry?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10105",,"80","99","Did the baby cry immediately after birth, even if only a little bit?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10106",,"81","100","How many minutes after birth did the baby first cry?","how many minutes after birth did the baby first cry? (USE 999 FOR NEVER)","integer",,,,,
"id10107",,"82","101","Did the baby stop being able to cry?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10108",,"83","102","How many hours before death did the baby stop crying?",,"integer",,,,,
"id10109",,"84","103","Did the baby ever move?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10110",,"85","104","Did the baby ever breathe?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10111",,"86","105","Did the baby breathe immediately after birth, even a little?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10112",,"87","106","Did the baby have a breathing problem?","did the baby have a BREATING problem?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10113",,"88","107","Was the baby given assistance to breathe at birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10114",,"89","108","If the baby didn't show any sign of life, was it born dead?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10115",,"90","109","Were there any bruises or signs of injury on baby's body after the birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10116",,"91","110","Was the baby’s body soft, pulpy and discoloured and the skin peeling away?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"injuries_accidents",,"92","72","History of injuries/accidents",,"begin group",,,,,
